 ,,,,,,,,Phys-Chem,,,,,,,Caco2 Ellinger,Vero-E6 Zaliani ,Vero-E6 Touret,HRCE Heiser,3CLPro Kuzikov,,Vero-E6 Riva,Bakowski,SARS-CoV Pseudotyped particle entry Vero E6 - NCATS and PubChem (AID:1479145),,,,,SARS-CoV Pseudotyped particle entry Vero E6 (Tox counterscreen)- NCATS and PubChem (AID:1479150),,,,,,MERS Pseudotyped particle entry Huh7 - NCATS and PubChem (AID:1479149),,,,,MERS Pseudotyped particle entry Huh7 (Tox counterscreen) - NCATS and PubChem (AID:1479147),,,,,,"SARS-CoV-2 cytopathic effect (CPE) - NCATS, PubChem (AID:1508606) and Chen",,,,,,,"SARS-CoV-2 cytopathic effect (CPE)(Tox counterscreen) - NCATS, PubChem (AID:1508605) and Chen",,,,,,,,,,,Red Flags,,,
Silodosin,Antidysuria,"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction","ADRA1A, ADRA1B, ADRA1D",adrenergic receptor antagonist,,,10.44,495.542,3.0711,6,3,13,97.05,1,-9.07,-0.03,0.8702,0.3783,18,,,,39.81071706,-10.39907817,39.8107,47.6829,Inconclusive,0,-3.945999149,0,0,Inactive,Inactive,0,-2.210205697,0,0,Inactive,0,-37.71000725,0,0,Inactive,Inactive,0,-2.973387895,,,,,,0,-19.97735486,,,,,,,97% bound to protein ,3.60 hours,32%,"itraconazole
ombitasvir/paritaprevir/ritonavir & dasabuvir","Hypersensitivity
Severe renal impairment (CrCl <30 mL/min)
Severe hepatic impairment (Child-Pugh Score >10)",Category B3,Not recommended
Lumacaftor,CFTR corrector,"ABC transporters, Gastric acid secretion, Pancreatic secretion, Bile secretion",CFTR,CFTR channel agonist,,,6.46,452.413,4.74702,5,2,5,97.75,0,37.26,0.02,,0.04797,2.625,,,,3.16227766,-55.89001864,3.1623,43.2008,Inconclusive,0,0.1680592,0,0,Inactive,Inactive,0,-51.75491424,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,6.258826113,,,,,,0,-16.9324573,,,,,,,"Lumacaftor is extensively protein bound in the plasma (99%), and binds primarily to albumin.[FDA Label]",The half-life of lumacaftor is approximately 26 hours.[FDA Label],,Bosentan; carbamazepine; cariprazine; cobimetinib; dabrafenib; dexamethasone; doravirine; efavirenz; elbasvir/grazoprevir; enzalutamide; eslicarbazepine acetate; etravirine; fosphenytoin; fostemsavir; isavuconazonium sulfate; lonafarnib; lorlatinib; mitotane; nafcillin; nevirapine; oxcarbazepine; pentobarbital; phenobarbital; phenytoin; primidone; rifabutin; rifampin; rifapentine; St John's Wort,None,Category B3,Not recommended
Stiripentol,Anticonvulsant,NA,GABRA3,GABA uptake inhibitor,,,,234.295,2.8355,3,1,2,38.69,1,2.28,0.04,0.1907,,23.97,,,,39.81071706,-16.71890475,39.8107,57.344,Inconclusive,0,-13.23716458,0,0,Inactive,Inactive,0,2.4004399,0,0,Inactive,0,1.623265504,0,0,Inactive,Inactive,0,-1.94764978,,,,,,0,-30.55666365,,,,,,,Stiripentol binds extensively to circulating plasma proteins (about 99%) [L880].,"Elimination half life is approximately ranges from 4.5 to 13 hours, in a dose-dependent manner [L880].",,Finerenone; idelalisib; isavuconazonium sulfate; lonafarnib; voclosporin,NA,Category B3,Not recommended
Pretomanid,Antibacterial (tuberculostatic),NA,FASN,nitric oxide donor,,,,359.26,2.6677,7,0,5,88.65,1,-0.06,0.08,,,-11.24,,,,0,-5.306319602,,,,0,-7.176977968,,,,,,,,,,,,,,,,0,-3.708231357,,,,,,0,-20.22684312,,,,,,,The plasma protein binding of pretomanid is about 86.4%.[L8048],The elimination half-life was determined to be 16.9-17.4 hours in a pharmacokinetic study of healthy subjects.[L8048] An FDA briefing document reports a half-life of 18 hours.[L8057],,None,None,NA,Use with caution
Rufinamide,Anticonvulsant,Dopaminergic synapse,"GRM5, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A",voltage-gated sodium channel blocker,,,,238.197,0.7035,4,1,3,73.8,0,-10.47,-0.04,0.3352,0.1638,-8.338,,,,0,-95.86933835,0,0,Inactive,0,0.252166013,0,0,Inactive,Inactive,0,-18.7064035,0,0,Inactive,0,-5.001427267,0,0,Inactive,Inactive,0,0.082196392,,,,,,0,-14.46471419,,,,,,,26.3% - 34.8% with 90% binding to albumin (27%).,"Elimination half-life, healthy subjects and patients with epilepsy = 6-10 hours.",85%,None,Hypersensitivity; Familial short QT syndrome,Category B3,Not recommended
(+)-Camphor,"Analgesic, Anti-inflammatory, Antipruritic",NA,,,,,,152.237,2.4017,1,0,0,17.07,2,4.08,-0.14,,,28.93,,,,0,-14.17479775,0,0,Inactive,0,4.789257107,0,0,Inactive,Inactive,0,-11.39899869,0,0,Inactive,0,-18.47225354,0,0,Inactive,Inactive,0,-3.329756105,,,,,,0,-11.52310881,,,,,,,,,,Artemether/lumefantrine; cariprazine; cobimetinib; dienogest/estradiol valerate; doravirine; elbasvir/grazoprevir; elvitegravir/cobicistat/emtricitabine/tenofovir DF; lonafarnib; lumacaftor/ivacaftor; lumefantrine; lurasidone; naloxegol; ombitasvir/paritaprevir/ritonavir & dasabuvir; oxcarbazepine; panobinostat; praziquantel; regorafenib; rilpivirine; roflumilast; vandetanib,Hypersensitivity,NA,NA
Parecoxib,NSAIDs,Arachidonic acid metabolism,LTF,cyclooxygenase inhibitor,,,8.3,370.43,3.53192,5,1,5,89.27,0,5.85,-0.11,,0.03281,24.92,,,,0,-16.32548116,0,0,Inactive,0,1.429513781,0,0,Inactive,Inactive,0,-0.602538606,0,0,Inactive,0,2.12911487,0,0,Inactive,Inactive,0,-0.735643891,,,,,,0,-16.28390815,,,,,,,98%,22 minutes (parecoxib)| 8 hours (valdecoxib),,NA,NA,Category C,Not recommended
Saxagliptin,Antidiabetic,Protein digestion and absorption,DPP4,dipeptidyl peptidase inhibitor,,,9.22,315.417,1.15798,4,2,2,90.35,8,-4.62,0,,,2.652,,,,0,-12.63407141,0,0,Inactive,0,-2.820517765,0,0,Inactive,Inactive,0,8.056316388,0,0,Inactive,0,-0.718675517,0,0,Inactive,Inactive,0,8.086467056,,,,,,0,5.661891902,,,,,,,The in vitro protein binding of saxagliptin and its active metabolite in human serum is negligible (<10%).,7.50 hours,"Bioavailability, 2.5 - 50 mg dose = 67%",None,Hypersensitivity,Category B3,Use with caution
Bosutinib,Antineoplastic,ErbB signaling pathway,"ABL1, BCR, CAMK1D, CAMK2G, CDK2, FRK, FYN, HCK, LYN, MAP2K1, MAP2K2, MAP3K2, MAP4K5, SRC, STK10, STK24, STK4, TNK2, TXK","Abl kinase inhibitor, Bcr-Abl kinase inhibitor, SRC inhibitor",,,10.54,530.456,5.19038,8,1,9,82.88,0,18.71,-0.33,-0.3065,0.09732,-1.12,,,,3.16227766,-96.63655942,,,,14.12537545,-83.00742285,,,,,,,,,,,,,,,,0,-8.977021767,,,,,,7.943282347,-117.5169597,,,,,,,94% bound to human plasma proteins in vitro. 96% bound to human plasma proteins in healthy subjects ex vivo. Extent of protein binding is not concentration-dependent. ,"Terminal phase elimination half-life, single oral dose, fed-state = 22.5 hours",,lefamulin,Hypersensitivity,NA,Not recommended
Selexipag,"Antihypertensive, Vasodilator","Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction, Platelet activation",PTGIR,"IP1 prostacyclin receptor agonist, platelet aggregation inhibitor",,,,496.633,3.898,7,1,12,101.49,0,-2.21,-0.08,,0.0592,10.87,,,,39.81071706,-45.63190366,39.8107,60.2787,Inconclusive,0,-1.869665555,0,0,Inactive,Inactive,0,-7.759739299,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,7.526524546,,,,,,0,-18.41448732,,,,,,,"Both selexipag and its active metabolite are highly protein bound, approximately 99%.",Selexipag's terminal half life is 0.8-2.5 hours. The active metabolite's terminal half life is 6.2-13.5 hours.,,Gemfibrozil,Concomitant use of strong CYP2C8 inhibitors,Category B1,Not recommended
Cinacalcet,"Antihypercalcemia, Antihyperparathyroidism","NOD-like receptor signaling pathway, Parathyroid hormone synthesis, secretion and action",CASR,calcium channel activator,,,7.7,357.419,6.142,1,1,6,12.03,1,,-0.38,,-0.07555,18.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately 93 to 97% bound to plasma proteins.,19.90 hours,20%,Eliglustat; etelcalcetide,Hyoersensitivity; decreased serum calcium,Category B3,Not recommended
GUAIACOL,"Analgesic, Disinfectant",NA,CA2,,,,,124.139,1.4008,2,1,1,29.46,0,,,0.2494,,,,,,0,-15.06583958,0,0,Inactive,0,-59.48547569,0,0,Inactive,Inactive,0,3.329916268,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,6.257298955,,,,,,0,-13.15651465,,,,,,,,,,NA,NA,NA,NA
ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE,NA,NA,,,,,,536.58,-6.3216,14,12,15,340.68,0,-2.85,-0.05,,,2.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The half life of edetate calcium disodium is 20-60 minutes.[L12774],,NA,NA,NA,NA
ALENDRONATE SODIUM,"Osteoporosis agent, Antiresorptive",Terpenoid backbone biosynthesis,"ATP6V1A, FDPS, PTPN4, PTPRE, PTPRS",bone resorption inhibitor,,,,326.131,-6.7433,4,6,5,255.81,0,,-0.19,,,4.25,,,,0,-6.120428415,0,0,Inactive,0,0.843931252,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,3.186374568,,,,,,0,-1.654900642,,,,,,,,3.10 hours,1%,"Human parathyroid hormone, recombinant",Hypersensitivity; Hypocalcemia,Category B3,Not recommended
RIZATRIPTAN BENZOATE,"Antimigraine, Vasoconstrictor","Neuroactive ligand-receptor interaction, Serotonergic synapse","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F",serotonin receptor agonist,,,6.9,391.475,3.2966,5,2,6,87.04,0,-3.9,0.07,0.7991,,-3.916,,,,25.11886432,-12.96989582,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,1.298560362,0,0,Inactive,Inactive,0,-0.084913704,,,,,,0,-22.60824124,,,,,,,14%,2.20 hours,45%,"almotriptan
cabergoline
dihydroergotamine
dihydroergotamine intranasal
eletriptan
ergoloid mesylates
ergotamine
frovatriptan
methylergonovine
naratriptan
procarbazine
sumatriptan
sumatriptan intranasal
zolmitriptan","Hypersensitivity
Coronary artery vasospasm
History of stroke or transient ischemic attack
Ischemic bowel
Peripheral vascular disease
Basilar or hemiplegic migraine",Category B1,Use with caution
METAXALONE,Skeletal muscle relaxant,NA,,,,,,221.256,1.79064,3,1,3,47.56,1,-6.36,0.12,,0.2292,4.879,,,,0,-10.21904745,0,0,Inactive,0,-28.56619021,0,0,Inactive,Inactive,0,0.51930652,0,0,Inactive,0,-24.91748909,0,0,Inactive,Inactive,0,-2.741001034,,,,,,0,-7.591595644,,,,,,,,9.2 (+/- 4.8) hours,,None,Hypersensitivity; renal/hepatic impairement,Category C,Not recommended
DONEPEZIL HYDROCHLORIDE,Anti-Alzheimer's,"Glycerophospholipid metabolism, Cholinergic synapse",ACHE,acetylcholinesterase inhibitor,,,,415.961,4.7829,4,0,6,38.77,1,,-0.2,,0.173,18.24,,,,39.81071706,-22.0683885,39.8107,75.6921,Inconclusive,0,4.254292812,0,0,Inactive,Inactive,39.81071706,-11.48366028,39.8107,38.3877,Inconclusive,0,-0.971795709,0,0,Inactive,Inactive,0,-1.909780602,,,,,,0,-0.743334591,,,,,,,"96% protein-bound, with approximately 75% binding to albumin and approximately 21% binding to alpha-1-glycoprotein","The average elimination half-life of donepezil is about 70 hours according to the results of various studies and the FDA label for donepezil.[A182333,L7916]. One pharmacokinetic study determined the average terminal half-life to be 81.5±22.0 h[A182324]",99%,None,Hypersensitivity,Category B3,Not recommended
FAMPRIDINE,Multiple Sclerosis Agent,NA,,,,,,94.117,0.6638,2,1,0,38.91,0,-6.59,-0.05,0.1168,0.1111,27.93,,,,0,-151.4324653,0,0,Inactive,0,11.12891416,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-3.149196958,,,,,,0,-22.44053921,,,,,,,10 mg extended release = 1-3% protein bound,3.60 hours,Relative bioavailability of 10 mg extended-release tablets compared to aqueous oral solution = 96%,NA,Hypersensitivity; history of seizures,Category C,Not recommended
CYSTEAMINE HYDROCHLORIDE,Anti-urolithic (cysteine calculi),,"NPY2R, SST",tissue transglutaminase inhibitor,,,,113.613,0.2967,2,2,1,26.02,0,,,,0.253,,,,,0,-66.28691718,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,7.089936575,0,0,Inactive,Inactive,0,6.788145336,,,,,,0,1.701907315,,,,,,,52%,The half-life of cysteamine is about 3.7 hours.[A218941],,NA,Hypersensitivity,Category B3,Not recommended
ZOLMITRIPTAN,"Antimigraine, Vasoconstrictor","Neuroactive ligand-receptor interaction, Seratonergic synapse","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F",serotonin receptor agonist,,,8.9,287.363,1.9229,3,2,5,57.36,1,7.85,0.24,0.4913,0.1454,25.69,,,,39.81071706,-62.03818209,39.8107,40.8308,Inconclusive,0,1.535060667,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-0.049050801,,,,,,0,-1.18744114,,,,,,,Zolmitriptan and its active N-desmethyl metabolite remain approximately 25% bound to plasma proteins over a concentration range of 10-1000 ng/mL,3.60 hours,45%,"almotriptan
bromocriptine
cabergoline
dihydroergotamine
dihydroergotamine intranasal
eletriptan
ergoloid mesylates
ergotamine
frovatriptan
methylergonovine
naratriptan
procarbazine
rizatriptan
sumatriptan
sumatriptan intranasal","Hypersensitivity
History of myocardial infarction
Ischemic or vasospastic artery disease
Peripheral vascular disease
Ischemic bowel disease",Category B3,Use with caution 
FUSIDIC ACID,Antibacterial,NA,,bacterial 30S ribosomal subunit inhibitor,,,,516.719,5.6661,5,3,5,104.06,10,6.87,0.04,,,8.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 to 99%,Approximately 5 to 6 hours in adults.,91%,NA,NA,Category C,Use with caution
MEBEVERINE HYDROCHLORIDE,"Antispasmodic, Smooth muscle relaxant","Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Cholinergic synapse",CHRM1,acetylcholine receptor antagonist,,,,466.018,5.0243,6,0,13,57.23,1,,,,0.1457,,,,,11.22018454,-48.60249735,11.2202,68.1397,Active,0,16.57627023,0,0,Inactive,Inactive,39.81071706,-21.36239117,39.8107,73.2706,Inconclusive,0,-5.529893135,0,0,Inactive,Inactive,0,4.90429728,,,,,,0,-27.33328901,,,,,,,,,,NA,NA,Category B2,Use with caution
SUMATRIPTAN,"Antimigraine, Vasoconstrictor","Neuroactive ligand-receptor interaction, Serotonergic synapse","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR5A, HTR6, HTR7",serotonin receptor agonist,,,,295.408,1.3212,3,2,6,65.2,0,-0.78,-0.04,,0.2609,15.35,,,,0,0,0,0,Inactive,0,3.335673098,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,11.50400309,,,,,,0,-22.99016512,,,,,,,14-21%,1.70 hours,14%,"almotriptan
bromocriptine
cabergoline
dihydroergotamine
dihydroergotamine intranasal
eletriptan
ergoloid mesylates
ergotamine
frovatriptan
methylergonovine
naratriptan
procarbazine
rizatriptan
zolmitriptan",Severe hepatic impairment; history of stroke; transient ischemic attack,Category B3,Use with caution 
FEXOFENADINE HYDROCHLORIDE,Antiallergic,"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",HRH1,histamine receptor antagonist,,,8,538.128,5.9323,4,3,10,81,1,,,,0.1118,,,,,6.309573445,-10.71723336,6.3096,32.3993,Inconclusive,0,8.438076289,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,9.02137978,0,0,Inactive,Inactive,0,6.428590678,,,,,,0,-3.817467539,,,,,,,60-70%,"The terminal elimination half-life is approximately 11-15 hours.[L10779,A1495]",70%,None,Hypersensitivity,Category B2,Use with caution
LOFEXIDINE  HYDROCHLORIDE,Antihypertensive,Neuroactive ligand-receptor interaction,,adrenergic receptor agonist,,,8.36,295.597,3.1842,3,1,3,33.62,1,,-0.11,0.03818,0.1853,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55% of administered dose,The reported elimination half-life of lofexidine is 11 hours.[T55],90%,None,None,NA,Use with caution
ALFUZOSIN HYDROCHLORIDE,"Antidysuria, Antihypertensive","cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction","ADRA1A, ADRA1B, ADRA1D, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A",adrenergic receptor antagonist,,,8.55,425.917,1.7725,8,2,8,111.83,1,,,,0.1086,,,,,39.81071706,-19.93802843,39.8107,68.3852,Inconclusive,15.84893192,-53.08760273,0,0,Inactive,Inactive,39.81071706,-32.49831445,39.8107,111.466,Inconclusive,0,-63.21129643,0,0,Inactive,Inactive,0,5.573321162,,,,,,0,-10.16535314,,,,,,,82-90%,4.80 hours,55%,"atazanavir
ceritinib
chloramphenicol
cisapride
clarithromycin
cobicistat
darunavir
dronedarone
elvitegravir/cobicistat/emtricitabine/tenofovir DF
fluconazole
fosamprenavir
idelalisib
indinavir
itraconazole
ketoconazole
lefamulin
lopinavir
mifepristone
nefazodone
nelfinavir
ombitasvir/paritaprevir/ritonavir & dasabuvir
posaconazole
ritonavir
saquinavir
thioridazine
tipranavir
voriconazole","Hypersensitivity
Moderate to severe liver impairment",Category B2,Not recommended
FAMCICLOVIR,Antiviral,DNA synthesis/replication,,DNA polymerase inhibitor,,,,321.337,0.541,9,1,7,122.22,0,-6.05,-0.08,0.2587,0.02613,9.899,,,,0,-4.229773263,0,0,Inactive,0,-3.23016764,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-33.0731731,0,0,Inactive,Inactive,0,4.567967581,,,,,,0,-23.13213711,,,,,,,20-25%,10 hours,77%,Varicella virus vaccine live; zoster vaccine live,Hypersensitivity,Category B1,Use with caution
NEFOPAM,Analgesic,NA,,cyclooxygenase inhibitor,,,,253.345,3.238,2,0,1,12.47,1,-6.62,-0.05,,,29.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 hours,36%,NA,NA,NA,Recommended
ALMOTRIPTAN,Antimigraine,"Neuroactive ligand-receptor interaction, Seratonergic synapse","HTR1B, HTR1D",serotonin receptor agonist,,,8,335.473,2.1976,3,1,6,56.41,0,,,,0.03586,,,,,0,2.282377859,0,0,Inactive,0,2.472437747,0,0,Inactive,Inactive,0,-10.60258012,0,0,Inactive,0,2.283325508,0,0,Inactive,Inactive,0,1.421262512,,,,,,0,-16.28695685,,,,,,,35%,3.40 hours,70%,"bromocriptine
cabergoline
dihydroergotamine
dihydroergotamine intranasal
eletriptan
ergoloid mesylates
ergotamine
frovatriptan
methylergonovine
naratriptan
procarbazine
rizatriptan
sumatriptan
sumatriptan intranasal
zolmitriptan","Hypersensitivity, severe hepatic or renal impairment, migraine prophylaxis",NA,Not recommended
VALACYCLOVIR HYDROCHLORIDE,Antiviral,DNA synthesis/replication,,,,,,360.802,-0.3758,9,3,7,151.14,1,,-0.2,,0.03059,6.38,,,,39.81071706,-53.01135434,39.8107,66.7301,Inconclusive,0,0.285630528,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-0.449541765,,,,,,0,-15.30384158,,,,,,,13.5-17.9%,The plasma elimination half-life of acyclovir typically averaged 2.5 to 3.3 hours in several studies of valacyclovir in volunteers with normal renal function [FDA label].,The absolute bioavailability of acyclovir after administration of valacyclovir was measured at 54.5% ± 9.1% after the administration of a 1 gram oral dose of valacyclovir and a 350 mg intravenous (IV) acyclovir dose to 12 healthy subjects,None,Hypersensitivity,Category B3,Use with caution
GRAMICIDIN (gramicidin A shown),Antibacterial,NA,,bacterial permeability inducer,,,,1882.332,4.3723,17,21,53,548.99,14,21.89,0.19,,,17.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA
EUGENOL,"Analgesic (dental), Disinfectant",NA,AR,androgen receptor antagonist,,,,164.204,2.1293,2,1,3,29.46,0,,0.02,,0.2298,14.47,,,,0,-31.5538779,0,0,Inactive,0,3.323220378,0,0,Inactive,Inactive,0,-34.51470758,0,0,Inactive,0,-4.625409364,0,0,Inactive,Inactive,0,-3.521465349,,,,,,0,-15.39638851,,,,,,,,,,NA,NA,NA,NA
ANTAZOLINE,Antiallergic,"Calcium signaling pathway, Neuroactive ligand-receptor interaction",HRH1,antihistamine,,,,265.36,2.6949,3,1,5,27.63,0,,,,0.1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29 hours,,NA,NA,NA,NA
CAPSAICIN,Analgesic (topical),Neuroactive ligand-receptor interaction,"CFTR, TRPV1",TRPV agonist,,,,305.418,3.7896,3,2,9,58.56,0,1.12,-0.12,,0.1538,26.63,,,,0,-27.8973115,,,,0,-18.37713327,,,,,,,,,,,,,,,,0,-3.374946234,,,,,,0,-12.08591899,,,,,,,,"Following oral ingestion of equipotent dose of 26.6 mg of pure capsaicin, the half life was approximately 24.9 ± 5.0 min [A32319]. Following topical application of 3% solution of capsaicin, the half-life of capsaicin was approximately 24 h [A32319]. The mean population elimination half-life was 1.64 h following application of a topical patch containing 179 mg of capsaicin [A32319].",,None,Hypersensitivity,NA,
HEXYLRESORCINOL,"Anthelmintic, Antiseptic",NA,TYR,,,,,194.274,3.2206,2,2,5,40.46,0,9.12,0.01,,0.2337,15.77,,,,0,-266.743467,0,0,Inactive,0,-114.8138944,0,0,Inactive,Inactive,0.891250938,-157.3408152,0.8913,93.7561,Active,39.81071706,-46.89155104,39.8107,90.6664,Inconclusive,Cytotoxic,0,-1.324503769,,,,,,0,-36.13365309,,,,,,,,"Readily accessible data regarding the half-life of hexylresorcinol is not available. Nevertheless, when hexylresorcinol is employed in its primary indication as a topical antiseptic or an oral anesthetic, it is generally accepted that pharmacokinetic considerations do not arise since the pharmacological action is local to the topically applied or oro-pharyngeal cavity area [L2735, F57, F58].",,NA,Hypersensitivity,Category C,No sufficient information is available
CYCLIZINE,Anti-emetic,"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",,histamine receptor antagonist,,,8.35,266.388,3.0234,2,0,3,6.48,0,-0.71,0.01,,0.1379,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.53 hours,,None,"Not to be used in asthma, glaucoma, emphysema, chronic pulmonary disease, shortness of breath, difficulty in breathing or difficulty in urination due to enlargement of the prostate gland",Category B3,Not recommended
PROCYCLIDINE HYDROCHLORIDE,"Antiparkinsonian, Skeletal muscle relaxant","Neuroactive ligand-receptor interaction, Cholinergic synapse",,acetylcholine receptor antagonist,,,8.34,323.908,4.3622,2,1,5,23.47,1,,,,0.2175,,,,,39.81071706,-18.35942803,10,30.4467,Inconclusive,0,-0.080055323,0,0,Inactive,Inactive,3.548133892,-71.05067187,3.5481,59.2229,Inconclusive,0,-7.828989871,0,0,Inactive,Inactive,0,22.30231787,,,,,,0,-10.54761591,,,,,,,100%,12 hours,,NA,NA,Category A,NA
MESALAMINE,Anti-inflammatory,NA,,,,7.53E+03,5.12,153.137,0.6726,3,3,1,83.55,0,-4.82,-0.12,0.3772,0.1964,7.437,,,,31.6227766,-164.1986062,31.6228,32.152,Inconclusive,0,0,0,0,Inactive,Inactive,0,-5.192578285,0,0,Inactive,0,1.672845397,0,0,Inactive,Inactive,0,0.843171377,,,,,,0,-18.29646341,,,,,,,43%,0.61 hours,,None,Hypersensitivity; breastfeeding,NA,Use with caution
GUANETHIDINE,Antihypertensive,Synaptic vesicle cycle,SLC6A2,adrenergic inhibitor,,,,198.314,0.73557,2,3,3,65.14,0,,,,0.1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5 days,20%,NA,NA,Category A,NA
GEMFIBROZIL,Antihyperlipidemic,"PPAR signaling pathway, Adipocytokine signaling pathway","LPL, PPARA, SLCO1B1, SLCO1B3, SLCO2B1",lipoprotein lipase activator,,,4.23,250.338,3.57324,2,1,6,46.53,0,3.12,-0.17,0.2785,0.05216,31.76,,,,0,-18.64106194,0,0,Inactive,0,10.20667815,0,0,Inactive,Inactive,0,14.91858108,0,0,Inactive,0,-0.940084123,0,0,Inactive,Inactive,0,-2.824674194,,,,,,0,-27.77773778,,,,,,,99%,Gemfibrozil has a plasma half-life of 1.5 hours.[L8525] In patients with renal failure the half life is 2.4h and in patients with liver disease the half life is 2.1h.[A185813],98%,Atorvastatin; elagolix; enzalutamide; fluvastatin; ombitasvir/paritaprevir/ritonavir & dasabuvir; pitavastatin; pravastatin; repaglinide; rosuvastatin; selexipag; simvastatin,Hypersensitivity;,Category B3,Not recommended
SULFACETAMIDE,Antibacterial,Folate biosynthesis,,PABA antagonist,,,,214.246,0.0936,4,2,2,89.26,0,-3.73,-0.23,,0.2126,13.66,,,,0,-21.97239218,0,0,Inactive,0,-36.12405438,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-79.78038325,0,0,Inactive,Inactive,0,-3.162920785,,,,,,0,-15.75799731,,,,,,,,7-12.8 hours,,NA,NA,Category C,Not recommended
BENZONATATE,Antitussive,NA,SCN5A,local anesthetic,,,,603.75,2.8346,12,1,32,121.4,0,,,,0.09156,,,,,44.66835922,-177.1939654,0,0,Inactive,28.18382931,-1.062552279,0,0,Inactive,Inactive,39.81071706,-31.74484979,39.8107,108.881,Inconclusive,0,-5.035545993,0,0,Inactive,Inactive,0,-7.958129668,,,,,,0,-10.87862823,,,,,,,,The half life of benzonatate following oral administration of 100 mg in healthy Chinese volunteers was 1.01 ± 0.41 h.[A190267],,NA,Hypersensitivity,Category C,Use with caution
DEXTROMETHORPHAN HYDROBROMIDE,Antitussive,"Neuroactive ligand-receptor interaction, Glutamatergic synapse","CHRNA2, CHRNA3, CHRNA4, CHRNA7, CHRNB2, CHRNB4, CYBA, CYBB, GRIN3A, NCF1, NCF2, NCF4, OPRD1, OPRK1, OPRM1, PGRMC1, RAC1, RAC2, SIGMAR1, SLC6A2, SLC6A4","glutamate receptor antagonist, sigma receptor agonist",,,5.7,352.316,3.9613,2,0,1,12.47,3,,,,0.09056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60-70%,Dextromethorphan has a half life of 3-30 hours.[A215382],11%,Isocarboxazid; phenelzine; procarbazine; rasagiline; safinamide; selegiline; tranylcypromine,Serotonin syndrome,Category A,Not recommended
CLIDINIUM BROMIDE,Anti-ulcerative,"Neuroactive ligand-receptor interaction, Cholinergic synapse, Gastric acid secretion","CHRM1, CHRM3",acetylcholine receptor antagonist,,,9.6,432.358,-0.2915,3,1,4,46.53,3,,-0.17,,0.116,18.17,,,,0,8.375349043,0,0,Inactive,0,16.10495424,0,0,Inactive,Inactive,0,0.723171643,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,4.522916816,,,,,,0,-8.249829588,,,,,,,,,,None,"Hypersensitivity
Glaucoma
Prostatic hypertrophy
Benign bladder neck obstruction
Severe respiratory depression",NA,NA
